Id,Variable,Input_file,Distribution,Min,Max,Mean,SD,Alpha,Beta,Value
0,Not varied in PSA,All,none,0,0,0,0,0,0,0
1,DALY value for T2D,disability-weights,beta,0.0165,0.066,0.033,0.012375,2,4,0
2,DALY value for CHD,disability-weights,beta,0.043,0.095,0.066,0.013,2,2.52173913,0
3,DALY value for Obesity,disability-weights,beta,0.001,0.022,0.012,0.00525,2.2,2,0
4,DALY value for NASH,disability-weights,beta,0.08,0.22,0.15,0.035,2,2,0
5,DALY value for Cirrhosis,disability-weights,beta,0.127,0.273,0.194,0.0365,2,2.358208955,0
6,DALY value for HCC,disability-weights,beta,0.199,0.411,0.294,0.053,2,2.463157895,0
7,Yearly direct costs for Steatosis,costs,gamma,67,268,134,50.25,7.111111111,18.84375,0
8,Yearly direct costs for NASH,costs,gamma,133.5,534,267,100.125,7.111111111,37.546875,0
9,Yearly direct costs for Cirrhosis,costs,gamma,1430.5,5722,2861,1072.875,7.111111111,402.328125,0
10,Yearly direct costs for HCC,costs,gamma,21322,85288,42644,15991.5,7.111111111,5996.8125,0
11,Yearly direct costs for CHD,costs,gamma,6616.5,26466,13233,4962.375,7.111111111,1860.890625,0
12,Yearly direct costs for T2D,costs,gamma,4085,16340,8170,3063.75,7.111111111,1148.90625,0
13,Yearly direct costs for Overweight,costs,gamma,171.5,686,343,128.625,7.111111111,48.234375,0
14,Yearly direct costs for Obesity,costs,gamma,458,1832,916,343.5,7.111111111,128.8125,0
15,Baseline TP NAFLD: non-NAFLD -> steatosis,transition-probabilities,beta,0.0067,0.015,0.01,0.002075,2,3.03030303,0
16,Baseline TP NAFLD: non-NAFLD -> NASH,transition-probabilities,beta,0.000201,0.00045,0.0003,0.00006225,2,3.03030303,0
17,Baseline TP NAFLD: each NAFLD state -> natural death,transition-probabilities,beta,0.0067,0.015,0.01,0.002075,2,3.03030303,0
18,Baseline TP NAFLD: steatosis -> non-NAFLD,transition-probabilities,beta,0.0134,0.03,0.02,0.00415,2,3.03030303,0
19,Baseline TP NAFLD: steatosis -> NASH,transition-probabilities,beta,0.00402,0.009,0.006,0.001245,2,3.03030303,0
20,Baseline TP NAFLD: steatosis -> cirrhosis,transition-probabilities,beta,0.000134,0.0003,0.0002,0.0000415,2,3.03030303,0
21,Baseline TP NAFLD: NASH -> non-NAFLD,transition-probabilities,beta,0.00067,0.0015,0.001,0.0002075,2,3.03030303,0
22,Baseline TP NAFLD: NASH -> steatosis,transition-probabilities,beta,0.0134,0.03,0.02,0.00415,2,3.03030303,0
23,Baseline TP NAFLD: NASH -> cirrhosis,transition-probabilities,beta,0.00134,0.003,0.002,0.000415,2,3.03030303,0
24,Baseline TP NAFLD: NASH -> HCC,transition-probabilities,beta,0.000067,0.00015,0.0001,0.00002075,2,3.03030303,0
25,Baseline TP NAFLD: NASH -> Liver death,transition-probabilities,beta,0.002546,0.0057,0.0038,0.0007885,2,3.03030303,0
26,Baseline TP NAFLD: cirrhosis -> HCC,transition-probabilities,beta,0.0134,0.03,0.02,0.00415,2,3.03030303,0
27,Baseline TP NAFLD: cirrhosis -> Liver death,transition-probabilities,beta,0.02278,0.051,0.034,0.007055,2,3.03030303,0
28,Baseline TP NAFLD: HCC -> Liver death,transition-probabilities,beta,0.335,0.75,0.5,0.10375,2,3.03030303,0
29,Baseline TP CHD: Non-CHD -> CHD,transition-probabilities,beta,0.003015,0.00675,0.0045,0.00093375,2,3.03030303,0
30,Baseline TP CHD: CHD -> CHD death,transition-probabilities,beta,0.0067,0.015,0.01,0.002075,2,3.03030303,0
31,Baseline TP T2D: non-T2D -> T2D,transition-probabilities,beta,0.003015,0.00675,0.0045,0.00093375,2,3.03030303,0
32,Baseline TP T2D: T2D -> T2D death,transition-probabilities,beta,0.0067,0.015,0.01,0.002075,2,3.03030303,0
33,Baseline transition BMI: Healthy -> overweight,transition-probabilities,beta,0.0335,0.075,0.05,0.010375,2,3.03030303,0
34,Baseline transition BMI: Healthy -> Obese,transition-probabilities,beta,0.00402,0.009,0.006,0.001245,2,3.03030303,0
35,Baseline transition BMI: Overweight -> Healthy,transition-probabilities,beta,0.0335,0.075,0.05,0.010375,2,3.03030303,0
36,Baseline transition BMI: Overweight -> Obese,transition-probabilities,beta,0.01206,0.027,0.018,0.003735,2,3.03030303,0
37,Baseline transition BMI: Obese-> Healthy,transition-probabilities,beta,0.00402,0.009,0.006,0.001245,2,3.03030303,0
38,Baseline transition BMI: Obese -> overweight,transition-probabilities,beta,0.02345,0.0525,0.035,0.0072625,2,3.03030303,0
39,Effect ethnicity NH-Black on all NAFLD transitions,interactions,beta,0.7,1,0.93,0.075,6.571428571,2,0
40,Effect ethnicity Hispanic on all NAFLD transitions,interactions,beta,1.22,2.22,1.67,0.25,2,2.444444444,0
41,Effect BMI Overweight on all NAFLD transitions,interactions,beta,1.595,3.38,2.19,0.44625,2,4,0
42,Effect BMI Obese on all NAFLD transitions,interactions,beta,2.07,5.28,3.14,0.8025,2,4,0
43,Effect fructose on all NAFLD transitions,interactions,beta,1.5,3,2,0.375,2,4,0
44,Effect NAFLD on transition Healthy -> CHD,interactions,beta,1.655,3.62,2.31,0.49125,2,4,0
45,Effect NAFLD on transition Healthy -> Diabetic,interactions,beta,1.865,4.46,2.73,0.64875,2,4,0
46,Effect NAFLD on all BMI transitions,interactions,beta,1.595,3.38,2.19,0.44625,2,4,0
47,Effect fructose on all BMI transitions,interactions,beta,1.2,6,2.6,1.2,2,4.857142857,0
48,Effect overweight on transition non-CHD -> CHD,interactions,beta,1.12,1.32,1.22,0.05,2,2,0
49,Effect obesity on transition non-CHD -> CHD,interactions,beta,1.43,1.79,1.6,0.09,2,2.235294118,0
50,Effect diabetes in transition non-CHD -> CHD,interactions,beta,1.64,3.06,2.24,0.355,2,2.733333333,0
51,Effect overweight on transition non-T2D -> T2D,interactions,beta,1.59,3.36,2.18,0.145,2,4,0
52,Effect obesity on transition non-T2D -> T2D,interactions,beta,2.18,5.72,3.36,0.29,2,4,0
53,CHD incidence regression rate/year,regression-rates,normal,0.97,1,0.985,0.00875,0,0,0
54,CHD death rate regression rate/year,regression-rates,normal,0.958,1,0.979,0.0105,0,0,0
55,Natural death rate regression rate/year (20-30),regression-rates,normal,0.99,1,1,0.005,0,0,0
56,Natural death rate regression rate/year (30-55),regression-rates,normal,0.96,1,0.98,0.01,0,0,0
57,Natural death rate regression rate/year (55+),regression-rates,normal,0.94,1,0.97,0.015,0,0,0
58,Steatosis prevalence year 0 in Hispanic population,ras,beta,0.268335,0.60075,0.4005,0.08310375,2,3.03030303,0
59,Steatosis prevalence year 0 in NHW population,ras,beta,0.17889,0.4005,0.267,0.0554025,2,3.03030303,0
60,Steatosis prevalence year 0 in NHB population,ras,beta,0.143112,0.3204,0.2136,0.044322,2,3.03030303,0
61,NASH prevalence year 0 in Hispanic population,ras,beta,0.03015,0.0675,0.045,0.0093375,2,3.03030303,0
62,NASH prevalence year 0 in NHW population,ras,beta,0.0201,0.045,0.03,0.006225,2,3.03030303,0
63,NASH prevalence year 0 in NHB population,ras,beta,0.01608,0.036,0.024,0.00498,2,3.03030303,0
64,Cirrhosis prevalence year 0 in Hispanic population,ras,beta,0.003015,0.00675,0.0045,0.00093375,2,3.03030303,0
65,Cirrhosis prevalence year 0 in NHW population,ras,beta,0.00201,0.0045,0.003,0.0006225,2,3.03030303,0
66,Cirrhosis prevalence year 0 in NHB population,ras,beta,0.001608,0.0036,0.0024,0.000498,2,3.03030303,0
67,HCC prevalence year 0 in Hispanic population,ras,beta,0.000243145,0.000544355,0.000362903,7.53E-05,2,3.03030303,0
68,HCC prevalence year 0 in NHW population,ras,beta,0.000162096,0.000362903,0.000241935,5.02E-05,2,3.03030303,0
69,HCC prevalence year 0 in NHB population,ras,beta,0.000129677,0.000290322,0.000193548,4.02E-05,2,3.03030303,0
70,Base-case percentage above sugar cut-off Hispanic MALE,ras,beta,0.42612,0.954,0.636,0.13197,2,3.03030303,0
71,Base-case percentage above sugar cut-off NHW MALE,ras,beta,0.42612,0.954,0.636,0.13197,2,3.03030303,0
72,Base-case percentage above sugar cut-off NHB MALE,ras,beta,0.44153,0.9885,0.659,0.1367425,2,3.03030303,0
73,Base-case percentage above sugar cut-off Hispanic FEMALE,ras,beta,0.31624,0.708,0.472,0.09794,2,3.03030303,0
74,Base-case percentage above sugar cut-off NHW FEMALE,ras,beta,0.33969,0.7605,0.507,0.1052025,2,3.03030303,0
75,Base-case percentage above sugar cut-off NHB FEMALE,ras,beta,0.39061,0.8745,0.583,0.1209725,2,3.03030303,0
